dataset,method,RMSD_within_2Å,PB_Valid,RMSD_within_2Å_and_PB_Valid,similarity,data_number
DockGen,DynamicBind,5.714285714285714,5.714285714285714,0.0,0.7,35
DockGen,DynamicBind,4.444444444444445,6.666666666666667,0.0,0.8,45
DockGen,DynamicBind,3.0303030303030303,4.545454545454546,0.0,0.9,66
DockGen,DynamicBind_relaxed,0.0,0.0,0.0,0.5,6
DockGen,DynamicBind_relaxed,5.555555555555555,5.555555555555555,5.555555555555555,0.6,18
DockGen,DynamicBind_relaxed,5.714285714285714,5.714285714285714,2.857142857142857,0.7,35
DockGen,DynamicBind_relaxed,4.444444444444445,6.666666666666667,2.2222222222222223,0.8,45
DockGen,DynamicBind_relaxed,3.0303030303030303,6.0606060606060606,1.5151515151515151,0.9,66
DockGen,SurfDock,83.33333333333334,50.0,50.0,0.5,6
DockGen,SurfDock,66.66666666666666,33.33333333333333,33.33333333333333,0.6,18
DockGen,SurfDock,80.0,48.57142857142857,48.57142857142857,0.7,35
DockGen,SurfDock,73.33333333333333,44.44444444444444,42.22222222222222,0.8,45
DockGen,SurfDock,68.18181818181817,36.36363636363637,31.818181818181817,0.9,66
DockGen,GAABind,33.33333333333333,16.666666666666664,16.666666666666664,0.5,6
DockGen,GAABind,16.666666666666664,11.11111111111111,5.555555555555555,0.6,18
DockGen,GAABind,31.428571428571427,22.857142857142858,8.571428571428571,0.7,35
DockGen,GAABind,31.11111111111111,17.77777777777778,6.666666666666667,0.8,45
DockGen,GAABind,33.33333333333333,13.636363636363635,4.545454545454546,0.9,66
DockGen,Interformer_Energy,50.0,66.66666666666666,50.0,0.5,6
DockGen,Interformer_Energy,38.88888888888889,83.33333333333334,38.88888888888889,0.6,18
DockGen,Interformer_Energy,51.42857142857142,77.14285714285715,42.857142857142854,0.7,35
DockGen,Interformer_Energy,51.11111111111111,77.77777777777779,44.44444444444444,0.8,45
DockGen,Interformer_Energy,46.96969696969697,68.18181818181817,37.878787878787875,0.9,66
DockGen,Interformer_PoseScore,50.0,50.0,33.33333333333333,0.5,6
DockGen,Interformer_PoseScore,44.44444444444444,72.22222222222221,38.88888888888889,0.6,18
DockGen,Interformer_PoseScore,54.285714285714285,71.42857142857143,37.142857142857146,0.7,35
DockGen,Interformer_PoseScore,53.333333333333336,73.33333333333333,40.0,0.8,45
DockGen,Interformer_PoseScore,43.93939393939394,63.63636363636363,31.818181818181817,0.9,66
DockGen,KarmaDock,33.33333333333333,0.0,0.0,0.5,6
DockGen,KarmaDock,16.666666666666664,0.0,0.0,0.6,18
DockGen,KarmaDock,17.142857142857142,0.0,0.0,0.7,35
DockGen,KarmaDock,13.333333333333334,0.0,0.0,0.8,45
DockGen,KarmaDock,9.090909090909092,0.0,0.0,0.9,66
DockGen,KarmaDock_align,16.666666666666664,16.666666666666664,0.0,0.5,6
DockGen,KarmaDock_align,11.11111111111111,11.11111111111111,0.0,0.6,18
DockGen,KarmaDock_align,8.571428571428571,8.571428571428571,0.0,0.7,35
DockGen,KarmaDock_align,6.666666666666667,8.88888888888889,0.0,0.8,45
DockGen,KarmaDock_align,4.545454545454546,6.0606060606060606,0.0,0.9,66
DockGen,KarmaDock_ff,33.33333333333333,0.0,0.0,0.5,6
DockGen,KarmaDock_ff,16.666666666666664,0.0,0.0,0.6,18
DockGen,KarmaDock_ff,14.285714285714285,0.0,0.0,0.7,35
DockGen,KarmaDock_ff,11.11111111111111,0.0,0.0,0.8,45
DockGen,KarmaDock_ff,7.575757575757576,0.0,0.0,0.9,66
DockGen,QuickBind,0.0,0.0,0.0,0.5,6
DockGen,QuickBind,0.0,0.0,0.0,0.6,18
DockGen,QuickBind,0.0,0.0,0.0,0.7,35
DockGen,QuickBind,0.0,0.0,0.0,0.8,45
DockGen,QuickBind,1.5151515151515151,0.0,0.0,0.9,66
