dataset,method,RMSD_within_2Å,PB_Valid,RMSD_within_2Å_and_PB_Valid,similarity,data_number
DockGen,DynamicBind_relaxed,0.0,22.22222222222222,0.0,0.5,9
DockGen,DynamicBind_relaxed,3.0303030303030303,6.0606060606060606,0.0,0.6,33
DockGen,DynamicBind_relaxed,1.4084507042253522,12.676056338028168,0.0,0.7,71
DockGen,DynamicBind_relaxed,2.4242424242424243,9.696969696969697,0.6060606060606061,0.8,165
DockGen,DynamicBind_relaxed,2.247191011235955,8.98876404494382,0.5617977528089888,0.9,178
DockGen,SurfDock,55.55555555555556,66.66666666666666,44.44444444444444,0.5,9
DockGen,SurfDock,63.63636363636363,48.484848484848484,39.39393939393939,0.6,33
DockGen,SurfDock,69.01408450704226,42.25352112676056,32.3943661971831,0.7,71
DockGen,SurfDock,72.72727272727273,42.42424242424242,34.54545454545455,0.8,165
DockGen,SurfDock,74.15730337078652,41.01123595505618,33.70786516853933,0.9,178
DockGen,GAABind,11.11111111111111,0.0,0.0,0.5,9
DockGen,GAABind,27.27272727272727,15.151515151515152,9.090909090909092,0.6,33
DockGen,GAABind,28.169014084507044,8.450704225352112,5.633802816901409,0.7,71
DockGen,GAABind,31.515151515151512,7.2727272727272725,3.0303030303030303,0.8,165
DockGen,GAABind,34.831460674157306,6.741573033707865,2.8089887640449436,0.9,178
DockGen,Interformer_Energy,55.55555555555556,55.55555555555556,33.33333333333333,0.5,9
DockGen,Interformer_Energy,57.57575757575758,72.72727272727273,45.45454545454545,0.6,33
DockGen,Interformer_Energy,46.478873239436616,77.46478873239437,39.436619718309856,0.7,71
DockGen,Interformer_Energy,42.42424242424242,73.33333333333333,34.54545454545455,0.8,165
DockGen,Interformer_Energy,44.38202247191011,71.91011235955057,35.39325842696629,0.9,178
DockGen,Interformer_PoseScore,33.33333333333333,66.66666666666666,22.22222222222222,0.5,9
DockGen,Interformer_PoseScore,42.42424242424242,63.63636363636363,24.242424242424242,0.6,33
DockGen,Interformer_PoseScore,38.028169014084504,73.23943661971832,26.76056338028169,0.7,71
DockGen,Interformer_PoseScore,40.0,73.93939393939394,30.303030303030305,0.8,165
DockGen,Interformer_PoseScore,41.57303370786517,72.47191011235955,30.89887640449438,0.9,178
DockGen,KarmaDock,22.22222222222222,0.0,0.0,0.5,9
DockGen,KarmaDock,27.27272727272727,0.0,0.0,0.6,33
DockGen,KarmaDock,14.084507042253522,0.0,0.0,0.7,71
DockGen,KarmaDock,6.666666666666667,0.0,0.0,0.8,165
DockGen,KarmaDock,6.179775280898876,0.0,0.0,0.9,178
DockGen,KarmaDock_align,0.0,11.11111111111111,0.0,0.5,9
DockGen,KarmaDock_align,15.151515151515152,21.21212121212121,6.0606060606060606,0.6,33
DockGen,KarmaDock_align,7.042253521126761,12.676056338028168,2.8169014084507045,0.7,71
DockGen,KarmaDock_align,3.0303030303030303,7.2727272727272725,1.2121212121212122,0.8,165
DockGen,KarmaDock_align,2.8089887640449436,6.741573033707865,1.1235955056179776,0.9,178
DockGen,KarmaDock_ff,11.11111111111111,11.11111111111111,0.0,0.5,9
DockGen,KarmaDock_ff,18.181818181818183,3.0303030303030303,0.0,0.6,33
DockGen,KarmaDock_ff,11.267605633802818,2.8169014084507045,1.4084507042253522,0.7,71
DockGen,KarmaDock_ff,4.848484848484849,1.8181818181818181,0.6060606060606061,0.8,165
DockGen,KarmaDock_ff,4.49438202247191,1.6853932584269662,0.5617977528089888,0.9,178
DockGen,QuickBind,0.0,0.0,0.0,0.5,9
DockGen,QuickBind,0.0,0.0,0.0,0.6,33
DockGen,QuickBind,1.4084507042253522,0.0,0.0,0.7,71
DockGen,QuickBind,3.6363636363636362,0.0,0.0,0.8,165
DockGen,QuickBind,3.3707865168539324,0.0,0.0,0.9,178
